Categories	Observed_scale_h2	Observed_scale_h2_SE	Proportion_of_SNPs	Proportion_of_h2g	Enrichment	Coefficients	Coefficient_SE
Corces2020_caudate.Astro	-7.1095e-03	0.0051	0.0021	-1.1829e-01	-5.6538e+01	-2.1848e-07	1.5571e-07
Corces2020_caudate.INT_Pvalb	-1.0345e-02	0.0065	0.0022	-1.7213e-01	-7.9977e+01	-3.0907e-07	1.9515e-07
Corces2020_caudate.Microglia	2.0193e-02	0.0077	0.0016	3.3598e-01	2.1676e+02	8.3763e-07	3.1845e-07
Corces2020_caudate.MSN_D1	1.3541e-02	0.009	0.0022	2.2530e-01	1.0288e+02	3.9755e-07	2.6376e-07
Corces2020_caudate.MSN_D2	-1.7008e-02	0.0099	0.0022	-2.8300e-01	-1.2870e+02	-4.9734e-07	2.9082e-07
Corces2020_caudate.MSN_SN	4.5914e-03	0.0051	0.0018	7.6395e-02	4.1911e+01	1.6196e-07	1.8051e-07
Corces2020_caudate.Oligo	3.7747e-03	0.0059	0.0015	6.2805e-02	4.2332e+01	1.6359e-07	2.5610e-07
Corces2020_caudate.OPC	-6.6449e-04	0.0055	0.0018	-1.1056e-02	-6.2501e+00	-2.4153e-08	2.0072e-07
Corces2020_caudate.All_Roadmap_DHS_cCREs.BG	6.7006e-03	0.0271	0.0189	1.1149e-01	5.8841e+00	2.2739e-08	9.1813e-08
Ancient_Sequence_Age_Human_Enhancer	3.0940e-03	0.0042	0.0006	5.1479e-02	8.2488e+01	3.1877e-07	4.2889e-07
Ancient_Sequence_Age_Human_Enhancer.extend.500	-6.9909e-03	0.0075	0.0015	-1.1632e-01	-7.9112e+01	-3.0572e-07	3.2964e-07
Ancient_Sequence_Age_Human_Promoter	3.5982e-03	0.0031	0.0004	5.9869e-02	1.5776e+02	6.0966e-07	5.2527e-07
Ancient_Sequence_Age_Human_Promoter.extend.500	-1.2761e-03	0.007	0.0009	-2.1232e-02	-2.4936e+01	-9.6364e-08	5.2561e-07
